Plot-ID,Date,UTM-E,UTM-N,Height,Tree_layer,Shrub_layer,Herb_layer,Soil_layer,Habitat,Comments,Subplot-ID,Tree_species
P20,2.7.19,477183,5632197,334,30,0,40,30,Douglasienforst,,SL01,NA
P20,2.7.19,477183,5632197,334,30,0,40,30,Douglasienforst,,DW01,NA
P21,2.7.19,477408,5631622,389,5,5,90,10,Waldlichtung mit Laerchen,,SL01,NA
P21,2.7.19,477408,5631622,389,5,5,90,10,Waldlichtung mit Laerchen,,DW01,NA
P22,4.7.19,477965,5632240,NA,80,10,30,0,Junger Eichen Buchen Mischwald,,DW01,NA
P22,4.7.19,477965,5632240,NA,80,10,30,0,Junger Eichen Buchen Mischwald,,SL01,NA
P23,4.7.19,477853,5632308,NA,85,5,5,5,Eichen Buchen Mischwald,,SL01,NA
P23,4.7.19,477853,5632308,NA,85,5,5,5,Eichen Buchen Mischwald,,DW01,NA
P24,4.7.19,477799,5632353,270,50,10,5,5,Eichen Buchen Mischwald,,SL01,NA
P24,4.7.19,477799,5632353,270,50,10,5,5,Eichen Buchen Mischwald,,DW01,NA
P25,4.7.19,477716,5632425,313,5,10,90,10,Waldlichtung mit Laerchen,Waldlichtung,SL01,NA
P26,4.7.19,477251,5632763,255,30,10,70,10,Douglasienforst,Lichtdurchflutet,SL01,NA
P26,4.7.19,477251,5632763,255,30,10,70,10,Fichtenforst,Lichtdurchflutet,DW01,NA
P27,4.7.19,477119,5632272,245,30,10,10,20,Fichtenforst,Lichtdurchflutet,SL01,NA
P27,4.7.19,477119,5632272,245,30,10,10,20,Fichtenforst,Lichtdurchflutet,DW01,NA
P28,4.7.19,477000,5632787,NA,20,20,80,0,Fichtenforst,Eindeutig Fichte,SL01,NA
P28,4.7.19,477000,5632787,NA,20,20,80,0,Fichtenforst,Eindeutig Fichte,DW01,NA
P29,4.7.19,477105,5632610,256,10,40,80,5,Fichtenforst,Lichtdurchflutet,SL01,NA
P29,4.7.19,477105,5632610,256,10,40,80,5,Fichtenforst,Lichtdurchflutet,DW01,NA
